Rep,Row,Pos,Fert,PlotIndex,PlotID,Plant,Genotype,SeedTreatment,R_Year,ERA,BG_activity.g,BX_activity.g,CB_activity.g,LAP_activity.g,NAG_activity.g,TimePoint,Stage,kgdw_ha,FracN.leco,FracC.leco,kgN_ha,RGR,AGR,Nprod,NupR,d15N,X15N_AtPercent,FracN,FracN_fromSoil,FracN_fromFert,kgFertN_ha,kgSoilN_ha
3,5,c,170,177,3-5c_170,1939,1939,Treated,1939,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,3,b,170,208,4-3b_170,1939,1939,Treated,1939,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,3,b,85,209,4-3b_85,1939,1939,Treated,1939,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,3,b,0,210,4-3b_0,1939,1939,Treated,1939,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,b,85,30,1-3b_85,1939-High,1939,Treated,1939,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,a,85,75,2-2a_85,1939-High,1939,Treated,1939,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5,a,85,170,3-5a_85,1939-High,1939,Treated,1939,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,c,85,187,4-1c_85,1939-High,1939,Treated,1939,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,b,85,28,1-3b_85,1939-Low,1939,Treated,1939,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,a,85,73,2-2a_85,1939-Low,1939,Treated,1939,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5,a,85,169,3-5a_85,1939-Low,1939,Treated,1939,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,c,85,189,4-1c_85,1939-Low,1939,Treated,1939,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,b,170,16,1-2b_170,1939,1939,Treated,1939,1,96.79330864,21.01421275,21.70019477,46.58059005,20.24605801,T1,V6,269.4,0.032903,0.40984,8.8640682,0.058292065,7,0.789705115,0.182488685,NA,NA,NA,NA,NA,NA,NA
1,2,b,85,17,1-2b_85,1939,1939,Treated,1939,1,73.07756065,21.93980454,17.3134337,34.54073982,15.29530339,T1,V6,221.7,0.025793,0.41236,5.7183081,0.054145849,5.675,0.992426414,0.115557619,NA,NA,NA,NA,NA,NA,NA
1,2,b,0,18,1-2b_0,1939,1939,Treated,1939,1,76.74884377,22.75186146,21.5323145,35.66293043,15.98934245,T1,V6,154.5,0.021774,0.41221,3.364083,0.04646221,3.808333333,1.132056888,0.065467723,NA,NA,NA,NA,NA,NA,NA
2,3,d,85,94,2-3d_85,1939,1939,Treated,1939,1,82.09018981,24.83165902,24.44744308,53.23462683,24.64701404,T1,V6,639.3,0.0218465,0.423865,13.96646745,0.0766788,17.275,1.236891151,0.291050371,NA,NA,NA,NA,NA,NA,NA
2,3,d,0,95,2-3d_0,1939,1939,Treated,1939,1,65.73081131,12.31003937,14.95732084,43.05200658,17.17039382,T1,V6,684.3,0.020245,0.42283,13.8536535,0.07812609,18.525,1.337192388,0.288650074,NA,NA,NA,NA,NA,NA,NA
